S1	E1	S2	E2	Reference	Contig	IDY	Ambiguous	Best_group
CONTIG	k91_107811	749	unaligned
CONTIG	k91_35937	671	unaligned
CONTIG	k91_251555	658	unaligned
CONTIG	k91_215619	581	unaligned
CONTIG	k91_179683	691	unaligned
CONTIG	k91_35938	842	unaligned
CONTIG	k91_0	1443	unaligned
CONTIG	k91_71878	657	unaligned
180429	180937	1	509	Kosakonia_cowanii_NZ_CP160412.1	k91_143750	98.04		True
CONTIG	k91_143750	509	correct
CONTIG	k91_215620	584	unaligned
CONTIG	k91_251557	666	unaligned
CONTIG	k91_71880	794	unaligned
CONTIG	k91_35939	1293	unaligned
CONTIG	k91_251559	696	unaligned
CONTIG	k91_143751	1046	unaligned
CONTIG	k91_107817	730	unaligned
CONTIG	k91_251561	508	unaligned
CONTIG	k91_143752	703	unaligned
CONTIG	k91_215622	1212	unaligned
CONTIG	k91_107819	542	unaligned
CONTIG	k91_251562	545	unaligned
CONTIG	k91_179694	767	unaligned
CONTIG	k91_71886	758	unaligned
CONTIG	k91_35948	548	unaligned
CONTIG	k91_215623	710	unaligned
840668	842633	1967	1	Tatumella_morbirosei_NZ_JPKR02000004.1	k91_143753	97.66		True
CONTIG	k91_143753	1967	correct
CONTIG	k91_107826	616	unaligned
CONTIG	k91_251567	510	unaligned
CONTIG	k91_15	828	unaligned
CONTIG	k91_179699	595	unaligned
CONTIG	k91_35954	541	unaligned
CONTIG	k91_71891	728	unaligned
CONTIG	k91_16	508	unaligned
CONTIG	k91_143755	884	unaligned
2678504	2679187	1	684	Kosakonia_cowanii_NZ_CP160412.1	k91_251570	98.54		True
CONTIG	k91_251570	684	correct
CONTIG	k91_35956	534	unaligned
CONTIG	k91_179701	1146	unaligned
CONTIG	k91_71896	659	unaligned
CONTIG	k91_35958	737	unaligned
43613	44321	709	1	Tatumella_punctata_NZ_BAAAFW010000025.1	k91_179703	98.59		True
CONTIG	k91_179703	709	correct
538853	540506	13	1666	Tatumella_morbirosei_NZ_JPKR02000004.1	k91_107834	97.34		True
CONTIG	k91_107834	1666	correct
CONTIG	k91_24	885	unaligned
CONTIG	k91_71898	693	unaligned
CONTIG	k91_143759	802	unaligned
CONTIG	k91_35962	579	unaligned
CONTIG	k91_26	971	unaligned
CONTIG	k91_107836	1157	unaligned
CONTIG	k91_179710	679	unaligned
CONTIG	k91_27	601	unaligned
CONTIG	k91_251573	2444	unaligned
CONTIG	k91_107838	572	unaligned
CONTIG	k91_71906	548	unaligned
CONTIG	k91_143765	507	unaligned
2971944	2972623	680	1	Pantoea_rwandensis_NZ_CP009454.1	k91_35972	91.76		True
CONTIG	k91_35972	701	correct
